"Variable","N","Media","D.E.","Min","Max","C.V."
"Temperatura","50","23.268","3.137","17.2","30","13.484"
"pH","50","9.133","0.201","8.52","9.6","2.197"
"Oxígeno disuelto","50","8.531","3.901","1.26","16.3","45.73"
"Conductividad","50","839.56","56.14","706","1014","6.687"
"Turbiedad","50","56","16.803","31","100","30.005"
"Alcalinidad total","50","336.782","50.1","32.55","386.72","14.876"
"Cloruros totales","50","63.078","5.185","51.05","73.55","8.221"
"Dureza total","50","143.709","18.523","106.38","192.11","12.889"
"Fluoruros","50","0.909","0.213","0.54","1.21","23.421"
"Nitrógeno de nitratos","50","0.109","0.024","0.1","0.22","21.943"
"Nitrógeno de nitritos","50","0.069","0.146","0.022","0.618","210.811"
"Nitrógeno amoniacal","50","1.421","0.933","0.14","5.97","65.66"
"Nitrógeno total Kjeldahl","50","8.529","1.159","6.43","11.7","13.586"
"Sulfatos","50","11.041","1.572","9.13","17.61","14.235"
"SAAM","50","0.019","0","0.019","0.019","0"
"DBO Turbiedad","50","15.481","4.395","6.42","25.08","28.387"
"DQO","50","238.772","53.712","144.93","394.83","22.495"
"Grasas y aceites","50","7.63","2.659","0","13.23","34.853"
"Fósforo total","50","1.018","0.21","0.37","1.57","20.611"
"SST","50","45.44","20.763","13","117","45.694"
"Sólidos disueltos tot.","50","590.1","39.948","436","646","6.77"
"Sólidos sedimentables","50","0.1","0","0.1","0.1","0"
"Sulfuros","50","0.499","0.415","0.1","1.4","83.116"
"Aluminio","50","182.673","288.98","0.01","804","158.195"
"Arsénico","50","906.002","1650.653","0","4300","182.191"
"Bario","50","2647.602","3734.55","0.005","9700","141.054"
"Cadmio","50","1940","13717.871","0","97000","707.107"
"Cobre","50","0.056","0.041","0.05","0.342","73.952"
"Cromo","50","0.05","0","0.05","0.05","0"
"Fierro","50","319.139","406.89","0.05","990","127.496"
"Manganeso","50","509.04","367.241","0.05","990","72.144"
"Mercurio","50","6840","18763.142","0","64000","274.315"
"Níquel","50","0.1","0","0.1","0.1","0"
"Plomo","50","3.022","21.354","0.002","151","706.522"
"Sodio","50","111.772","9.697","89.8","132.5","8.676"
"Zinc","50","132.511","249.124","0.02","860","188.003"
"Coliformes totales","50","11830.26","28583.782","3","110000","241.616"
"Coliformes fecales","50","7242.84","20780.491","3","110000","286.911"
"Profundidad","42","3.269","0.747","1.37","4.8","22.844"
"Temp. ambiente","50","24.314","4.082","17.4","32","16.788"
"Transparencia Secchi","0","NaN",NA,"Inf","-Inf",NA
"Sólidos totales","50","635.54","36.961","553","723","5.816"
"Nitrógeno total","50","8.558","1.159","6.43","11.7","13.545"
"Clorofilas","48","115.899","85.769","0.337","276.7","74.004"
"Materia flotante","0","NaN",NA,"Inf","-Inf",NA
