"Variable","N","Media","D.E.","Min","Max","C.V."
"Temperatura","55","21.582","2.37","15","26","10.983"
"pH","55","8.871","0.383","7.3","9.4","4.321"
"Oxígeno disuelto","55","7.283","2.175","3.91","13.98","29.867"
"Conductividad","55","1170.527","273.963","313","1532","23.405"
"Turbiedad","55","86.182","24.132","40","140","28.002"
"Alcalinidad total","55","443.021","97.078","115.24","565.8","21.913"
"Cloruros totales","55","109.49","31.391","19.24","157.48","28.67"
"Dureza total","55","120.548","30.985","70.8","167.93","25.703"
"Fluoruros","55","0.853","0.252","0.47","2.19","29.499"
"Nitrógeno de nitratos","55","0.121","0.045","0.1","0.29","37.498"
"Nitrógeno de nitritos","55","11.464","65.726","0.01","460","573.312"
"Nitrógeno amoniacal","55","1.112","0.712","0.5","3.88","64.085"
"Nitrógeno total Kjeldahl","55","11.133","3.135","5.14","20.44","28.159"
"Sulfatos","55","15.315","10.331","10","50.54","67.459"
"SAAM","55","0.133","0.069","0.1","0.46","51.87"
"DBO Turbiedad","55","13.656","5.598","4.44","27.9","40.994"
"DQO","55","249.185","111.177","56.02","503.17","44.616"
"Grasas y aceites","55","7.798","4.388","5.14","23.59","56.274"
"Fósforo total","55","1.569","0.273","1.2","2.33","17.399"
"SST","55","69.623","27.856","10","170","40.01"
"Sólidos disueltos tot.","55","776.559","182.56","273","1032.53","23.509"
"Sólidos sedimentables","55","0.135","0.23","0.1","1.8","170.579"
"Sulfuros","55","0.479","0.499","0.1","1.87","104.214"
"Aluminio","55","54.013","193.278","0.171","935","357.834"
"Arsénico","55","2033.092","2990.861","0.002","9000","147.109"
"Bario","55","179.404","348.605","0.1","990","194.313"
"Cadmio","55","9323.637","23775.199","0","98000","254.999"
"Cobre","55","0.05","0","0.05","0.05","0"
"Cromo","55","0.05","0","0.05","0.05","0"
"Fierro","55","237.421","366.272","0.05","990","154.271"
"Manganeso","55","171.32","300.786","0.05","880","175.57"
"Mercurio","55","21.455","159.111","0","1180","741.603"
"Níquel","55","0.1","0","0.1","0.1","0"
"Plomo","55","3626.091","3304.03","0.002","9700","91.118"
"Sodio","55","168.78","41.628","25.4","255.5","24.664"
"Zinc","55","68.22","132.143","0.02","520","193.701"
"Coliformes totales","55","142027.964","692720.765","9","4600000","487.735"
"Coliformes fecales","55","99603.6","452625.586","4","2400000","454.427"
"Profundidad","0","NaN",NA,"Inf","-Inf",NA
"Temp. ambiente","55","22.855","2.215","17","33","9.69"
"Transparencia Secchi","0","NaN",NA,"Inf","-Inf",NA
"Sólidos totales","55","847.818","196.02","395","1107","23.121"
"Nitrógeno total","55","11.366","2.946","5.48","20.44","25.915"
"Clorofilas","55","394.872","635.233","7.98","4602.63","160.871"
"Materia flotante","0","NaN",NA,"Inf","-Inf",NA
