"Variable","N","Media","D.E.","Min","Max","C.V."
"Temperatura","55","22.345","2.254","16","26","10.089"
"pH","55","9.122","0.295","7.6","9.7","3.232"
"Oxígeno disuelto","55","7.857","1.999","3.34","13.3","25.438"
"Conductividad","55","1125.255","97.891","722","1265","8.699"
"Turbiedad","55","65.991","21.685","9","110","32.86"
"Alcalinidad total","55","466.648","65.489","216.35","618.32","14.034"
"Cloruros totales","55","94.695","10.155","47.95","108.23","10.724"
"Dureza total","55","169.915","25.164","72.15","212.52","14.81"
"Fluoruros","55","1.837","0.888","0.7","4.66","48.359"
"Nitrógeno de nitratos","55","0.154","0.114","0.1","0.84","74.299"
"Nitrógeno de nitritos","55","2.555","18.876","0.01","140","738.664"
"Nitrógeno amoniacal","55","0.646","0.37","0.5","2.11","57.169"
"Nitrógeno total Kjeldahl","55","9.65","1.594","7.04","13.4","16.523"
"Sulfatos","55","12.681","14.344","10","114.44","113.122"
"SAAM","55","0.143","0.098","0.1","0.46","68.406"
"DBO Turbiedad","55","18.191","6.813","7.53","38.28","37.453"
"DQO","55","235.51","91.583","96","513.6","38.887"
"Grasas y aceites","55","6.958","3.285","5.14","21.49","47.209"
"Fósforo total","55","1.497","0.198","1.26","2.18","13.236"
"SST","55","69.545","24.151","20","117","34.726"
"Sólidos disueltos tot.","55","773.655","71.797","491","899","9.28"
"Sólidos sedimentables","55","0.107","0.033","0.1","0.3","30.311"
"Sulfuros","55","1.142","1.025","0.1","4.6","89.733"
"Aluminio","55","120.09","300.662","0.101","990","250.363"
"Arsénico","55","1340.131","2396.157","0.002","9700","178.8"
"Bario","55","127.253","294.544","0.005","964","231.463"
"Cadmio","55","19609.455","34530.932","0","99000","176.093"
"Cobre","55","0.05","0","0.05","0.05","0"
"Cromo","55","0.05","0","0.05","0.05","0"
"Fierro","55","214.93","373.383","0.08","980","173.723"
"Manganeso","55","175.686","296.248","0.05","950","168.623"
"Mercurio","55","13665.091","27950.446","0","98000","204.539"
"Níquel","55","0.1","0","0.1","0.1","0"
"Plomo","55","3713.185","3451.838","0.002","9800","92.962"
"Sodio","55","145.975","14.402","82.1","171.9","9.866"
"Zinc","55","98.763","166.486","0.02","590","168.571"
"Coliformes totales","55","37836.364","160108.777","90","1100000","423.161"
"Coliformes fecales","55","36248.182","160257.778","40","1100000","442.113"
"Profundidad","0","NaN",NA,"Inf","-Inf",NA
"Temp. ambiente","55","23.618","3.461","13","30","14.656"
"Transparencia Secchi","0","NaN",NA,"Inf","-Inf",NA
"Sólidos totales","55","843.364","80.319","543","999","9.524"
"Nitrógeno total","55","9.755","1.558","7.2","13.4","15.967"
"Clorofilas","55","232.631","67.643","81.29","342.5","29.077"
"Materia flotante","0","NaN",NA,"Inf","-Inf",NA
