"Variable","N","Media","D.E.","Min","Max","C.V."
"Temperatura","40","23.373","2.283","20.06","27","9.767"
"pH","40","8.567","0.344","7.42","9.17","4.015"
"Oxígeno disuelto","40","9.488","3.417","1.57","16.8","36.015"
"Conductividad","40","681.375","60.812","561","766","8.925"
"Turbiedad","40","25.192","4.518","16.05","33.7","17.935"
"Alcalinidad total","40","345.239","28.643","278.2","428","8.297"
"Cloruros totales","40","57.585","5.4","49.61","81.53","9.378"
"Dureza total","40","123.083","10.439","104","143.7","8.481"
"Fluoruros","40","0.79","0.091","0.62","1","11.55"
"Nitrógeno de nitratos","40","0.122","0.07","0.1","0.39","57.349"
"Nitrógeno de nitritos","40","3.771","23.714","0.022","150","628.766"
"Nitrógeno amoniacal","40","2.269","1.658","0.59","8.23","73.094"
"Nitrógeno total Kjeldahl","40","7.543","1.705","1.78","11.28","22.607"
"Sulfatos","40","10.699","2.04","7.63","15.12","19.063"
"SAAM","40","45.862","162.234","0.019","670","353.745"
"DBO Turbiedad","40","23.419","12.593","10.56","83.25","53.771"
"DQO","40","115.344","34.696","42","190.73","30.08"
"Grasas y aceites","39","6.992","2.379","1.63","11.28","34.018"
"Fósforo total","40","38.513","140.289","0.211","640","364.265"
"SST","40","50.325","27.65","7","115","54.943"
"Sólidos disueltos tot.","40","487.125","67.916","415","778","13.942"
"Sólidos sedimentables","40","0.1","0","0.1","0.1","0"
"Sulfuros","39","0.257","0.187","0.1","0.69","72.766"
"Aluminio","40","0.035","0.123","0.01","0.747","351.065"
"Arsénico","40","0.002","0","0.002","0.002","0"
"Bario","40","0.005","0","0.005","0.005","0"
"Cadmio","40","0","0","0","0","0"
"Cobre","40","0.05","0","0.05","0.05","0"
"Cromo","40","0.05","0","0.05","0.05","0"
"Fierro","40","242.839","324.245","0.02","980","133.523"
"Manganeso","20","624.071","376.738","0.109","960","60.368"
"Mercurio","40","20525","27056.434","0","70000","131.822"
"Níquel","40","0.1","0","0.1","0.1","0"
"Plomo","40","0.002","0","0.002","0.002","0"
"Sodio","20","71.56","2.431","65.5","75.5","3.397"
"Zinc","40","73.268","197.586","0.02","710","269.678"
"Coliformes totales","40","7374.525","14856.118","3","43000","201.452"
"Coliformes fecales","40","6874.525","13934.321","3","43000","202.695"
"Profundidad","40","3.064","0.663","1.6","4.8","21.639"
"Temp. ambiente","0","NaN",NA,"Inf","-Inf",NA
"Transparencia Secchi","0","NaN",NA,"Inf","-Inf",NA
"Sólidos totales","40","535.175","71.158","465","838","13.296"
"Nitrógeno total","40","7.575","1.717","1.78","11.28","22.67"
"Clorofilas","0","NaN",NA,"Inf","-Inf",NA
"Materia flotante","0","NaN",NA,"Inf","-Inf",NA
