"Variable","N","Media","D.E.","Min","Max","C.V."
"Temperatura","55","23.013","2.341","18.1","30","10.171"
"pH","55","9.077","0.584","7.28","9.58","6.436"
"Oxígeno disuelto","15","10.492","2.198","6.22","15.02","20.953"
"Conductividad","55","883.305","72.07","758","974","8.159"
"Turbiedad","55","68.673","19.149","22","110","27.884"
"Alcalinidad total","55","395.891","25.641","357.21","473.78","6.477"
"Cloruros totales","55","68.454","5.34","60.46","79.72","7.8"
"Dureza total","54","182.191","12.667","163.68","210","6.952"
"Fluoruros","55","1.146","0.791","0.62","4.04","69.039"
"Nitrógeno de nitratos","55","0.101","0.007","0.1","0.15","6.681"
"Nitrógeno de nitritos","55","16.224","120.002","0.022","890","739.667"
"Nitrógeno amoniacal","55","0.681","0.773","0.5","5.51","113.51"
"Nitrógeno total Kjeldahl","55","9.965","2.449","6.31","20.11","24.579"
"Sulfatos","55","10.035","0.181","10","11.08","1.806"
"SAAM","55","0.193","0.019","0.19","0.33","9.804"
"DBO Turbiedad","55","18.568","5.682","7.02","31.98","30.602"
"DQO","55","172.843","42.113","98.86","309.34","24.365"
"Grasas y aceites","55","9.931","2.761","8.37","24.81","27.804"
"Fósforo total","55","1.542","0.22","1.25","2.53","14.25"
"SST","55","71.418","23.631","18","136","33.088"
"Sólidos disueltos tot.","55","623.036","37.01","554","717","5.94"
"Sólidos sedimentables","55","0.1","0","0.1","0.1","0"
"Sulfuros","48","3.533","1.5","1.59","7.41","42.445"
"Aluminio","55","69.361","210.815","0.101","922","303.939"
"Arsénico","55","693.947","1398.235","0.002","4200","201.49"
"Bario","55","0.161","0.021","0.127","0.202","13.037"
"Cadmio","55","9120.364","22164.716","0","75000","243.024"
"Cobre","55","0.05","0","0.05","0.05","0"
"Cromo","55","0.054","0.031","0.05","0.28","57.239"
"Fierro","55","325.921","371.973","0.05","960","114.13"
"Manganeso","55","256.214","325.707","0.05","910","127.123"
"Mercurio","55","10576","21819.524","0","69000","206.312"
"Níquel","55","0.1","0","0.1","0.1","0"
"Plomo","55","610.911","1353.003","0.002","5100","221.473"
"Sodio","55","124.011","14.261","79.8","147.06","11.499"
"Zinc","55","184.019","276.838","0.02","980","150.44"
"Coliformes totales","55","13859.091","62249.685","210","460000","449.161"
"Coliformes fecales","55","11769.691","62237.369","3","460000","528.794"
"Profundidad","0","NaN",NA,"Inf","-Inf",NA
"Temp. ambiente","49","22.237","2.843","16.4","30","12.785"
"Transparencia Secchi","0","NaN",NA,"Inf","-Inf",NA
"Sólidos totales","55","694.455","42.591","623","776","6.133"
"Nitrógeno total","55","9.991","2.44","6.31","20.11","24.421"
"Clorofilas","55","293.688","124.914","110.49","726.14","42.533"
"Materia flotante","0","NaN",NA,"Inf","-Inf",NA
