"Variable","N","Media","D.E.","Min","Max","C.V."
"Temperatura","55","23.591","3.271","17","33","13.867"
"pH","55","9.072","0.356","8.05","9.47","3.925"
"Oxígeno disuelto","55","7.953","3.864","1.54","15.97","48.591"
"Conductividad","55","867","114.146","691","1198","13.166"
"Turbiedad","55","57.436","16.841","24","95","29.321"
"Alcalinidad total","55","363.089","33.443","288.61","410.83","9.211"
"Cloruros totales","55","64.488","8.003","53.3","93.82","12.411"
"Dureza total","55","148.609","10.245","125.88","167.67","6.894"
"Fluoruros","55","1.102","0.25","0.72","1.77","22.729"
"Nitrógeno de nitratos","55","0.119","0.025","0.1","0.2","21.149"
"Nitrógeno de nitritos","55","0.022","0","0.022","0.022","0"
"Nitrógeno amoniacal","55","0.902","0.476","0.5","2.07","52.776"
"Nitrógeno total Kjeldahl","55","8.189","2.086","5.38","18.31","25.479"
"Sulfatos","55","16.161","38.791","2.95","298","240.032"
"SAAM","55","0.019","0","0.019","0.019","0"
"DBO Turbiedad","55","15.878","7.156","8.85","36.6","45.067"
"DQO","55","193.935","99.823","91.73","792.75","51.473"
"Grasas y aceites","55","8.6","0.824","8.37","12.54","9.578"
"Fósforo total","55","1.107","0.098","0.88","1.33","8.862"
"SST","55","48.218","20.017","11","86","41.514"
"Sólidos disueltos tot.","55","611.345","65.647","435","718","10.738"
"Sólidos sedimentables","55","0.1","0","0.1","0.1","0"
"Sulfuros","55","1.99","1.233","0.1","7.3","61.952"
"Aluminio","55","235.163","346.689","0.01","990","147.425"
"Arsénico","55","705.456","1296.35","0.002","3700","183.76"
"Bario","55","4382.055","4442.04","0.005","9900","101.369"
"Cadmio","55","2693.091","13935.805","0","88000","517.465"
"Cobre","55","59.501","191.456","0.05","740","321.771"
"Cromo","55","0.05","0","0.05","0.05","0"
"Fierro","55","416.619","1009.737","0.05","7200","242.365"
"Manganeso","55","399.676","340.986","0.05","940","85.316"
"Mercurio","55","24041.957","30679.799","0","75000","127.609"
"Níquel","55","0.1","0","0.1","0.1","0"
"Plomo","55","92.73","687.684","0.002","5100","741.6"
"Sodio","55","110.749","14.12","84.4","127.6","12.749"
"Zinc","55","279.156","253.416","0.02","860","90.779"
"Coliformes totales","54","11969.685","27483.554","3","110000","229.61"
"Coliformes fecales","55","8423.745","25580.458","3","110000","303.671"
"Profundidad","50","3.485","0.653","1.9","5","18.744"
"Temp. ambiente","55","23.156","2.582","15.5","27.8","11.152"
"Transparencia Secchi","35","60.131","198.779","0.08","700","330.578"
"Sólidos totales","55","659.564","76.495","454","786","11.598"
"Nitrógeno total","55","8.269","2.095","5.38","18.43","25.331"
"Clorofilas","50","195.751","64.964","66.8","333.01","33.187"
"Materia flotante","0","NaN",NA,"Inf","-Inf",NA
