"Variable","N","Media","D.E.","Min","Max","C.V."
"Temperatura","5","18.8","0.837","18","20","4.45"
"pH","5","8.72","0.045","8.7","8.8","0.513"
"Oxígeno disuelto","5","7.42","0.724","6.65","8.4","9.759"
"Conductividad","5","1783.4","53.463","1725","1842","2.998"
"Turbiedad","5","110","7.071","100","120","6.428"
"Alcalinidad total","5","480.356","7.613","471.09","492","1.585"
"Cloruros totales","5","95.824","2.073","92.37","97.61","2.163"
"Dureza total","5","159.832","2.772","156.28","163.06","1.734"
"Fluoruros","5","1.562","0.302","1.21","1.97","19.32"
"Nitrógeno de nitratos","5","0.368","0.063","0.3","0.47","17.122"
"Nitrógeno de nitritos","5","0.01","0","0.01","0.01","0"
"Nitrógeno amoniacal","5","2.272","3.962","0.5","9.36","174.398"
"Nitrógeno total Kjeldahl","5","9.712","0.729","8.84","10.45","7.503"
"Sulfatos","5","10","0","10","10","0"
"SAAM","5","0.1","0","0.1","0.1","0"
"DBO Turbiedad","5","14.868","3.03","12.21","19.41","20.381"
"DQO","5","298.77","56.775","249.67","396.09","19.003"
"Grasas y aceites","5","8.504","4.175","5.14","13.18","49.095"
"Fósforo total","5","1.566","0.187","1.28","1.78","11.935"
"SST","5","72","5.958","68","82","8.275"
"Sólidos disueltos tot.","5","777.4","16.319","754","799","2.099"
"Sólidos sedimentables","5","0.1","0","0.1","0.1","0"
"Sulfuros","5","0.188","0.143","0.1","0.43","76.289"
"Aluminio","5","0.299","0.162","0.206","0.586","54.073"
"Arsénico","5","6440","1114.899","5000","7500","17.312"
"Bario","5","0.227","0.02","0.204","0.244","9.01"
"Cadmio","5","12600","28174.456","0","63000","223.607"
"Cobre","5","0.05","0","0.05","0.05","0"
"Cromo","5","0.05","0","0.05","0.05","0"
"Fierro","5","0.171","0.091","0.11","0.331","53.105"
"Manganeso","5","124.04","277.25","0.05","620","223.517"
"Mercurio","5","28204","40452.788","0","89000","143.429"
"Níquel","5","0.1","0","0.1","0.1","0"
"Plomo","5","4240","650.385","3700","5300","15.339"
"Sodio","5","146.74","2.936","141.7","149.4","2.001"
"Zinc","5","96.012","132.201","0.02","260","137.692"
"Coliformes totales","5","3034.6","6688.933","3","15000","220.422"
"Coliformes fecales","5","3034.6","6688.933","3","15000","220.422"
"Profundidad","0","NaN",NA,"Inf","-Inf",NA
"Temp. ambiente","5","18.2","2.588","15","21","14.222"
"Transparencia Secchi","0","NaN",NA,"Inf","-Inf",NA
"Sólidos totales","5","849.4","14.588","827","867","1.717"
"Nitrógeno total","5","10.08","0.75","9.18","10.92","7.441"
"Clorofilas","5","232.76","69.593","129.23","304.2","29.899"
"Materia flotante","0","NaN",NA,"Inf","-Inf",NA
